Route,Type1910,Type1920,Type1930,Type1940,Type1950,Type1960,Type1970,Type1980,OffPeak1910,Peak1910,OffPeak1920,Peak1920,OffPeak1940,Peak1940,Peak_Freq,Opeak_Freq,Mileage
New Britain,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.0463427163794
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,1.50395381877
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,1.81313761436
Main St,Trolley,Trolley,Trolley,Both,,,,,15,15,10,10,10,10,10,10,0.123131990226
Pearl St,Trolley,Trolley,Trolley,Both,,,,,5,5,5,5,10,10,10,10,0.0742178496144
South Glastonbury,Trolley,Trolley,Bus,Bus,,,,,30,30,30,30,0,0,0,0,3.81736169765
Park St,Trolley,Trolley,Trolley,Trolley,,,,,20,20,20,20,15,12,15,15,0.898497223524
New Park Ave,Trolley,Trolley,Both,Bus,,,,,30,30,20,20,0,0,20,20,0.317117072212
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.445998931499
Blue Hills Ave,Trolley,Trolley,Trolley,Both,,,,,30,30,15,15,10,10,10,10,1.25500501816
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.773457803121
New Britain,Trolley,Trolley,Both,Both,,,,,30,30,15,15,20,10,20,20,0.283498908557
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.298397185137
Maple Ave,NA,Bus,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.697951085682
Maple Ave,NA,Bus,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.058308760839
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.641247251645
Wethersfield Ave,Trolley,Trolley,Trolley,Trolley,,,,,15,15,15,15,10,10,10,10,0.631878722714
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,1.40866591032
West Hartford,Trolley,Trolley,Trolley,Bus,,,,,5,5,5,5,0,0,5,5,0.705635168321
West Hartford,Trolley,Trolley,Both,Bus,,,,,5,5,5,5,0,0,5,5,0.0865484098802
Main St,Trolley,Both,Both,Both,,,,,15,15,10,10,10,10,10,10,0.209657731861
Main St,Trolley,Both,Both,Both,,,,,15,15,10,10,10,10,10,10,0.119508163146
,Trolley,Trolley,Bus,Bus,,,,,60,60,60,60,0,0,0,0,9.93672742531
,Other,NA,NA,NA,,,,,0,0,0,0,0,0,0,0,12.9323683351
,Trolley,Trolley,Trolley,NA,,,,,30,30,15,30,0,0,20,30,0.929536214724
Griswoldville,Trolley,Trolley,Trolley,Trolley,,,,,0,0,30,60,30,30,30,30,2.49914730284
,Trolley,Trolley,Bus,Bus,,,,,60,60,60,60,0,0,0,0,7.1170553481
,Trolley,Trolley,Bus,Bus,,,,,0,0,30,60,0,0,0,0,8.26307259975
,Trolley,Trolley,Trolley,NA,,,,,30,30,15,30,0,0,20,30,3.73349020685
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.85175136813
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.640852050327
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,6.34231205112
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.74618107318
,Trolley,Trolley,Bus,Bus,,,,,60,60,60,60,0,0,0,0,4.98415614333
,Trolley,Trolley,Bus,Bus,,,,,60,60,60,60,0,0,0,0,2.33668702996
Manchester Green,Trolley,Trolley,Bus,Bus,,,,,0,0,60,60,0,0,0,0,1.37812304772
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,8.40401917493
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,1.3205432954
,NA,NA,Bus,Bus,,,,,0,0,0,0,0,0,0,0,1.62186311134
Blue Hills Ave,Trolley,Trolley,NA,NA,,,,,0,0,30,30,0,0,0,0,1.11053977701
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.38645163689
,Other,NA,NA,NA,,,,,0,0,0,0,0,0,0,0,4.96838497318
East Windsor Hill,Trolley,Trolley,Trolley,Bus,,,,,30,30,30,30,0,0,30,30,0.978316304337
East Windsor Hill,Trolley,Trolley,Trolley,Bus,,,,,10,10,30,15,0,0,10,30,0.37497194225
West Hartford,Trolley,Trolley,Trolley,Bus,,,,,5,5,5,5,0,0,5,5,1.07549134262
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.986794620061
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.221578503385
